indi1400={snip:8.618140, raw:5530.088932, std:145.488226, params:0.8821}
indi1401={snip:9.008759, raw:8173.371241, std:246.153401, params:0.8821}
indi1402={snip:7.992391, raw:2957.361638, std:12.922573, params:0.6689}
indi1403={snip:8.424307, raw:4555.487639, std:256.639859, params:0.7336}
indi1404={snip:8.902521, raw:7349.483707, std:165.594428, params:0.8821}
indi1405={snip:8.716845, raw:6103.887185, std:200.867007, params:0.8821}
indi1406={snip:8.400444, raw:4448.042449, std:391.968808, params:0.8358}
indi1407={snip:8.305484, raw:4044.999299, std:125.608721, params:0.6857}
indi1408={snip:8.882572, raw:7204.299205, std:245.914646, params:0.6859}
indi1409={snip:8.364094, raw:4289.221761, std:54.378183, params:0.7774}
