indi0700={snip:8.115409, raw:3344.624213, std:253.467238, params:0.8358}
indi0701={snip:7.863883, raw:2600.602013, std:183.620008, params:0.4220}
indi0702={snip:7.577828, raw:1953.379951, std:125.188195, params:0.8926}
indi0703={snip:8.016886, raw:3030.722481, std:102.737036, params:0.6924}
indi0704={snip:8.014516, raw:3023.546440, std:102.391963, params:0.7895}
indi0705={snip:7.845159, raw:2552.344667, std:211.923201, params:0.8769}
indi0706={snip:6.850904, raw:943.734290, std:34.906320, params:0.4472}
indi0707={snip:8.415477, raw:4515.428624, std:133.561337, params:0.8821}
indi0708={snip:7.360215, raw:1571.174050, std:49.950990, params:0.6143}
indi0709={snip:8.431870, raw:4590.078284, std:424.440521, params:0.8358}
